Year,1,2,3,4,5,6,7,8,9,10,11,12
2010,-15.7,-14.3,-8.7,1.3,7.6,10.7,16.3,12,8.2,3.2,-7,-12.8
2011,-12.9,-17.2,-5.2,2.1,6.4,14,16.3,12,9,3.9,-1.8,-2.5
2012,-11.4,-15.2,-5,-1,6.4,11.2,14,11.7,8.1,1.3,-2.5,-14.4
2013,-9.6,-7.8,-12.6,-0.5,7.1,13.7,15.5,14.7,9.2,1,-4.2,-7.2
2014,-14.3,-4.7,-2.7,0.4,5.4,9.8,16.8,14.3,8,-0.2,-5,-7.8
2015,-12.5,-7.4,-1.5,1,7.1,10.7,11.7,13,9.9,2.3,-2,-8.3
2016,-16.9,-4.7,-3.6,1.4,9.2,11.6,17.7,13.3,8.3,2.7,-4.3,-6.9
2017,-10.4,-8.8,-4.1,-1.9,3.1,8.8,15,12.4,6.9,2.4,-3.4,-7.6
2018,-9,-11.5,-9.8,0.6,8.8,10.9,18.7,14.4,9,0.5,-0.7,-7.6
2019,-13.2,-10.3,-6.2,2,5.6,11.9,12.9,11.7,8.2,-0.4,-5.4,-5.2
2020,-9,-6.5,-3.9,-0.4,5.4,14.9,16.1,13,8.5,3.4,-0.1,-4.8
2021,-13,-15.9,-5.8,1.7,5.2,15.1,16,12,5.6,2,-6.1,-11.9
